湖南电信,#genre#
凤凰资讯,http://113.218.241.201:8089/rtp/239.76.246.135:1234
湖南电影,http://113.218.241.201:8089/rtp/239.76.245.119:1234
湖南公共,http://113.218.241.201:8089/rtp/239.76.245.123:1234
CCTV-1,http://113.218.241.201:8089/rtp/239.76.246.151:1234
凤凰中文,http://113.218.241.201:8089/rtp/239.76.246.134:1234
凤凰中文,http://113.218.241.201:8089/rtp/239.76.253.135:9000
凤凰资讯,http://113.218.241.201:8089/rtp/239.76.253.134:9000
CCTV-2,http://113.218.241.201:8089/rtp/239.76.246.152:1234
湖南娱乐,http://113.218.241.201:8089/rtp/239.76.245.121:1234
湖南都市,http://113.218.241.201:8089/rtp/239.76.245.117:1234
湖南卫视,http://113.218.241.201:8089/rtp/239.76.245.115:1234
CCTV-3,http://113.218.241.201:8089/rtp/239.76.246.153:1234
湖南国际,http://113.218.241.201:8089/rtp/239.76.245.124:1234
湖南经视,http://113.218.241.201:8089/rtp/239.76.245.116:1234
CCTV-5,http://113.218.241.201:8089/rtp/239.76.246.155:1234
CCTV-4,http://113.218.241.201:8089/rtp/239.76.245.195:1234
CCTV-7,http://113.218.241.201:8089/rtp/239.76.246.157:1234
CCTV-5+,http://113.218.241.201:8089/rtp/239.76.246.168:1234
CCTV-8,http://113.218.241.201:8089/rtp/239.76.246.158:1234
CCTV-6,http://113.218.241.201:8089/rtp/239.76.246.156:1234
CCTV-4,http://113.218.241.201:8089/rtp/239.76.246.154:1234
CCTV-12,http://113.218.241.201:8089/rtp/239.76.246.162:1234
CCTV-9,http://113.218.241.201:8089/rtp/239.76.246.159:1234
CCTV-11,http://113.218.241.201:8089/rtp/239.76.245.251:1234
CCTV-13,http://113.218.241.201:8089/rtp/239.76.246.93:1234
CCTV-10,http://113.218.241.201:8089/rtp/239.76.246.160:1234
CCTV-14,http://113.218.241.201:8089/rtp/239.76.246.164:1234
CCTV-15,http://113.218.241.201:8089/rtp/239.76.245.252:1234
湖南电视剧,http://113.218.241.201:8089/rtp/239.76.245.118:1234
CCTV-16,http://113.218.241.201:8089/rtp/239.76.246.98:1234
CCTV-17,http://113.218.241.201:8089/rtp/239.76.245.238:1234
CCTV-4美洲,http://113.218.241.201:8089/rtp/239.76.246.96:1234
CCTV-16 4K,http://113.218.241.201:8089/rtp/239.76.246.214:1234
CCTV-16 4k,http://113.218.241.201:8089/rtp/239.76.246.224:1234
CCTV-4欧洲,http://113.218.241.201:8089/rtp/239.76.246.95:1234
CGTN俄语,http://113.218.241.201:8089/rtp/239.76.246.86:1234
CGTN记录,http://113.218.241.201:8089/rtp/239.76.245.66:1234
体育,http://113.218.241.201:8089/rtp/239.76.246.136:1234
CCTV-16 4kR,http://113.218.241.201:8089/rtp/239.76.246.230:1234
CGTN英语,http://113.218.241.201:8089/rtp/239.76.245.67:1234
CGTN法语,http://113.218.241.201:8089/rtp/239.76.246.87:1234
CGTN西班牙语,http://113.218.241.201:8089/rtp/239.76.246.88:1234
金鹰卡通,http://113.218.241.201:8089/rtp/239.76.245.120:1234
广东卫视,http://113.218.241.201:8089/rtp/239.76.245.189:1234
湖南教育,http://113.218.241.201:8089/rtp/239.76.245.233:1234
金鹰纪实,http://113.218.241.201:8089/rtp/239.76.245.122:1234
安徽卫视,http://113.218.241.201:8089/rtp/239.76.245.196:1234
东南卫视,http://113.218.241.201:8089/rtp/239.76.245.190:1234
河北卫视,http://113.218.241.201:8089/rtp/239.76.245.199:1234
辽宁卫视,http://113.218.241.201:8089/rtp/239.76.245.197:1234
江西卫视,http://113.218.241.201:8089/rtp/239.76.245.225:1234
江苏卫视,http://113.218.241.201:8089/rtp/239.76.246.181:1234
贵州卫视,http://113.218.241.201:8089/rtp/239.76.245.198:1234
北京卫视,http://113.218.241.201:8089/rtp/239.76.246.184:1234
东方卫视,http://113.218.241.201:8089/rtp/239.76.246.186:1234
浙江卫视,http://113.218.241.201:8089/rtp/239.76.246.182:1234
天津卫视,http://113.218.241.201:8089/rtp/239.76.246.185:1234
山东卫视,http://113.218.241.201:8089/rtp/239.76.246.195:1234
深圳卫视,http://113.218.241.201:8089/rtp/239.76.246.188:1234
湖北卫视,http://113.218.241.201:8089/rtp/239.76.246.193:1234
三沙卫视,http://113.218.241.201:8089/udp/239.76.246.74:1234
黑龙江卫视,http://113.218.241.201:8089/rtp/239.76.246.200:1234
三沙卫视,http://113.218.241.201:8089/udp/239.76.253.74:9000
吉林卫视,http://113.218.241.201:8089/rtp/239.76.246.201:1234
河南卫视,http://113.218.241.201:8089/rtp/239.76.246.202:1234
重庆卫视,http://113.218.241.201:8089/rtp/239.76.246.92:1234
四川卫视,http://113.218.241.201:8089/rtp/239.76.246.91:1234
海南卫视,http://113.218.241.201:8089/rtp/239.76.246.203:1234
中国教育1,http://113.218.241.201:8089/rtp/239.76.245.192:1234
中国教育2,http://113.218.241.201:8089/udp/239.76.252.253:9000
甘肃卫视,http://113.218.241.201:8089/rtp/239.76.246.94:1234
中国教育2,http://113.218.241.201:8089/udp/239.76.245.253:1234
中国教育4,http://113.218.241.201:8089/udp/239.76.252.254:9000
中国教育4,http://113.218.241.201:8089/udp/239.76.245.254:1234
长沙女性,http://113.218.241.201:8089/rtp/239.76.245.23:1234
芒果乐搜,http://113.218.241.201:8089/rtp/239.76.245.200:1234
长沙影视,http://113.218.241.201:8089/rtp/239.76.245.204:1234
芒果乐活,http://113.218.241.201:8089/rtp/239.76.245.201:1234
湘西综合,http://113.218.241.201:8089/rtp/239.76.245.208:1234
河南梨园,http://113.218.241.201:8089/rtp/239.76.245.179:1234
湘西综合,http://113.218.241.201:8089/rtp/239.76.252.209:9000
文物宝库,http://113.218.241.201:8089/rtp/239.76.245.180:1234
武术世界,http://113.218.241.201:8089/rtp/239.76.245.181:1234
IPTV院线,http://113.218.241.201:8089/rtp/239.76.245.217:1234
IPTV抗战剧场,http://113.218.241.201:8089/rtp/239.76.245.218:1234
芒果乐淘,http://113.218.241.201:8089/rtp/239.76.245.215:1234
IPTV古装剧场,http://113.218.241.201:8089/rtp/239.76.245.219:1234
IPTV经典剧场,http://113.218.241.201:8089/rtp/239.76.245.221:1234
IPTV家庭剧场,http://113.218.241.201:8089/rtp/239.76.245.220:1234
IPTV广场舞,http://113.218.241.201:8089/rtp/239.76.245.134:1234
IPTV4k,http://113.218.241.201:8089/rtp/239.76.245.35:1234
张家界2,http://113.218.241.201:8089/rtp/239.76.245.235:1234
IPTV电竞,http://113.218.241.201:8089/rtp/239.76.245.136:1234
张家界综合,http://113.218.241.201:8089/rtp/239.76.245.234:1234
CHC动作电影,http://113.218.241.201:8089/rtp/239.76.245.243:1234
CHC高清电影,http://113.218.241.201:8089/rtp/239.76.245.242:1234
CHC动作电影,http://113.218.241.201:8089/rtp/239.76.252.243:9000
CHC高清电影,http://113.218.241.201:8089/udp/239.76.252.242:9000
IPTV故事频道,http://113.218.241.201:8089/rtp/239.76.246.41:1234
CHC家庭影院,http://113.218.241.201:8089/rtp/239.76.245.241:1234
CHC家庭影院,http://113.218.241.201:8089/udp/239.76.252.241:9000
IPTV戏曲频道,http://113.218.241.201:8089/rtp/239.76.246.40:1234
IPTV健康之路,http://113.218.241.201:8089/rtp/239.76.246.42:1234
湖南国际,http://113.218.241.201:8089/rtp/239.76.246.102:1234
湖南卫视,http://113.218.241.201:8089/rtp/239.76.246.100:1234
湖南经视,http://113.218.241.201:8089/rtp/239.76.246.103:1234
CGTN阿拉伯语,http://113.218.241.201:8089/rtp/239.76.246.97:1234
湖南卫视,http://113.218.241.201:8089/rtp/239.76.246.101:1234
湖南都市,http://113.218.241.201:8089/rtp/239.76.246.104:1234
金鹰卡通,http://113.218.241.201:8089/rtp/239.76.246.107:1234
湖南公共,http://113.218.241.201:8089/rtp/239.76.246.109:1234
湖南电影,http://113.218.241.201:8089/rtp/239.76.246.106:1234
金鹰纪实,http://113.218.241.201:8089/rtp/239.76.246.110:1234
湖南电视剧,http://113.218.241.201:8089/rtp/239.76.246.108:1234
湖南娱乐,http://113.218.241.201:8089/rtp/239.76.246.105:1234
长沙政法,http://113.218.241.201:8089/rtp/239.76.246.122:1234
长沙新闻,http://113.218.241.201:8089/rtp/239.76.246.121:1234
体育,http://113.218.241.201:8089/rtp/239.76.253.136:9000
欢笑剧场4K,http://113.218.241.201:8089/rtp/239.76.246.130:1234
全纪实,http://113.218.241.201:8089/rtp/239.76.246.137:1234
浏阳,http://113.218.241.201:8089/rtp/239.76.248.6:1234
法治天地,http://113.218.241.201:8089/rtp/239.76.246.138:1234
生活时尚,http://113.218.241.201:8089/rtp/239.76.246.223:1234
都市剧场,http://113.218.241.201:8089/rtp/239.76.246.215:1234
常德综合,http://113.218.241.201:8089/rtp/239.76.248.10:1234
衡阳综合,http://113.218.241.201:8089/rtp/239.76.248.13:1234
常德公共,http://113.218.241.201:8089/rtp/239.76.248.11:1234
娄底综合,http://113.218.241.201:8089/rtp/239.76.248.18:1234
张家界综合,http://113.218.241.201:8089/rtp/239.76.252.234:9000
衡阳公共,http://113.218.241.201:8089/rtp/239.76.248.14:1234
娄底公共,http://113.218.241.201:8089/rtp/239.76.248.19:1234
张家界2,http://113.218.241.201:8089/rtp/239.76.252.235:9000
娄底教育,http://113.218.241.201:8089/rtp/239.76.248.20:1234
邵阳新闻,http://113.218.241.201:8089/rtp/239.76.255.21:9000
XNXTV,http://113.218.241.201:8089/rtp/239.76.248.21:1234
邵阳公共,http://113.218.241.201:8089/rtp/239.76.255.22:9000
邵阳新闻,http://113.218.241.201:8089/rtp/239.76.248.23:1234
邵阳公共,http://113.218.241.201:8089/rtp/239.76.248.22:1234
