央视频道,#genre#
CCTV1,http://175.9.140.110:8888/udp/239.76.253.151:9000
CCTV1,http://175.9.140.110:8888/udp/239.76.246.151:1234
CCTV1,http://175.9.140.110:8888/udp/239.76.245.51:1234
CCTV2,http://175.9.140.110:8888/udp/239.76.246.152:1234
CCTV2,http://175.9.140.110:8888/udp/239.76.253.152:9000
CCTV3,http://175.9.140.110:8888/udp/239.76.253.153:9000
CCTV3,http://175.9.140.110:8888/udp/239.76.246.153:1234
CCTV4,http://175.9.140.110:8888/udp/239.76.245.195:1234
CCTV4,http://175.9.140.110:8888/udp/239.76.246.154:1234
CCTV4,http://175.9.140.110:8888/udp/239.76.253.154:9000
CCTV5,http://175.9.140.110:8888/udp/239.76.246.155:1234
CCTV5+,http://175.9.140.110:8888/udp/239.76.246.168:1234
CCTV5+,http://175.9.140.110:8888/udp/239.76.253.168:9000
CCTV5,http://175.9.140.110:8888/udp/239.76.253.155:9000
CCTV6,http://175.9.140.110:8888/udp/239.76.246.156:1234
CCTV6,http://175.9.140.110:8888/udp/239.76.253.156:9000
CCTV7,http://175.9.140.110:8888/udp/239.76.246.157:1234
CCTV7,http://175.9.140.110:8888/udp/239.76.253.157:9000
CCTV8,http://175.9.140.110:8888/udp/239.76.253.158:9000
CCTV8,http://175.9.140.110:8888/udp/239.76.246.158:1234
CCTV9,http://175.9.140.110:8888/udp/239.76.246.159:1234
CCTV9,http://175.9.140.110:8888/udp/239.76.253.159:9000
CCTV10,http://175.9.140.110:8888/udp/239.76.253.160:9000
CCTV10,http://175.9.140.110:8888/udp/239.76.246.160:1234
CCTV11,http://175.9.140.110:8888/udp/239.76.245.251:1234
CCTV12,http://175.9.140.110:8888/udp/239.76.246.162:1234
CCTV12,http://175.9.140.110:8888/udp/239.76.253.162:9000
CCTV13,http://175.9.140.110:8888/udp/239.76.246.93:1234
CCTV13,http://175.9.140.110:8888/udp/239.76.253.93:9000
CCTV14,http://175.9.140.110:8888/udp/239.76.246.164:1234
CCTV14,http://175.9.140.110:8888/udp/239.76.253.164:9000
CCTV15,http://175.9.140.110:8888/udp/239.76.245.252:1234
CCTV16 4k,http://175.9.140.110:8888/udp/239.76.246.224:1234
CCTV16 4K,http://175.9.140.110:8888/udp/239.76.246.214:1234
CCTV16 4k,http://175.9.140.110:8888/udp/239.76.246.230:1234
CCTV16 4K,http://175.9.140.110:8888/udp/239.76.253.230:9000
CCTV16 4K,http://175.9.140.110:8888/udp/239.76.253.224:9000
CCTV16 4K,http://175.9.140.110:8888/udp/239.76.253.214:9000
CCTV16 4K,http://175.9.140.110:8888/udp/239.76.254.200:9000
CCTV16,http://175.9.140.110:8888/udp/239.76.246.98:1234
CCTV16,http://175.9.140.110:8888/udp/239.76.253.98:9000
CCTV17,http://175.9.140.110:8888/udp/239.76.245.238:1234

卫视频道,#genre#
东南卫视,http://175.9.140.110:8888/udp/239.76.245.190:1234
东方卫视,http://175.9.140.110:8888/udp/239.76.253.186:9000
东南卫视,http://175.9.140.110:8888/udp/239.76.252.190:9000
东方卫视,http://175.9.140.110:8888/udp/239.76.246.186:1234
云南卫视,http://175.9.140.110:8888/udp/239.76.254.60:9000
凤凰资讯,http://175.9.140.110:8888/udp/239.76.246.135:1234
凤凰资讯,http://175.9.140.110:8888/udp/239.76.246.8:1234
凤凰中文,http://175.9.140.110:8888/udp/239.76.246.7:1234
凤凰中文,http://175.9.140.110:8888/udp/239.76.253.135:9000
凤凰中文,http://175.9.140.110:8888/udp/239.76.246.134:1234
凤凰资讯,http://175.9.140.110:8888/udp/239.76.253.134:9000
北京卫视,http://175.9.140.110:8888/udp/239.76.246.184:1234
北京卫视,http://175.9.140.110:8888/udp/239.76.253.184:9000
吉林卫视,http://175.9.140.110:8888/udp/239.76.253.201:9000
四川卫视,http://175.9.140.110:8888/udp/239.76.246.91:1234
天津卫视,http://175.9.140.110:8888/udp/239.76.246.185:1234
吉林卫视,http://175.9.140.110:8888/udp/239.76.246.201:1234
天津卫视,http://175.9.140.110:8888/udp/239.76.253.185:9000
四川卫视,http://175.9.140.110:8888/udp/239.76.253.91:9000
山东卫视,http://175.9.140.110:8888/udp/239.76.246.195:1234
安徽卫视,http://175.9.140.110:8888/udp/239.76.245.196:1234
山东卫视,http://175.9.140.110:8888/udp/239.76.253.195:9000
安徽卫视,http://175.9.140.110:8888/udp/239.76.252.196:9000
广东卫视,http://175.9.140.110:8888/udp/239.76.245.189:1234
广东卫视,http://175.9.140.110:8888/udp/239.76.252.189:9000
广西卫视,http://175.9.140.110:8888/udp/239.76.254.54:9000
江苏卫视,http://175.9.140.110:8888/udp/239.76.246.181:1234
江苏卫视,http://175.9.140.110:8888/udp/239.76.253.181:9000
江西卫视,http://175.9.140.110:8888/udp/239.76.245.225:1234
河北卫视,http://175.9.140.110:8888/udp/239.76.252.199:9000
河北卫视,http://175.9.140.110:8888/udp/239.76.245.199:1234
河南卫视,http://175.9.140.110:8888/udp/239.76.246.202:1234
河南卫视,http://175.9.140.110:8888/udp/239.76.253.202:9000
浙江卫视,http://175.9.140.110:8888/udp/239.76.246.182:1234
浙江卫视,http://175.9.140.110:8888/udp/239.76.253.182:9000
海南卫视,http://175.9.140.110:8888/udp/239.76.246.203:1234
海南卫视,http://175.9.140.110:8888/udp/239.76.253.203:9000
深圳卫视,http://175.9.140.110:8888/udp/239.76.246.188:1234
湖北卫视,http://175.9.140.110:8888/udp/239.76.253.193:9000
深圳卫视,http://175.9.140.110:8888/udp/239.76.253.188:9000
湖北卫视,http://175.9.140.110:8888/udp/239.76.246.193:1234
湖南卫视,http://175.9.140.110:8888/udp/239.76.245.115:1234
湖南卫视,http://175.9.140.110:8888/udp/239.76.246.100:1234
湖南卫视,http://175.9.140.110:8888/udp/239.76.246.101:1234
湖南卫视,http://175.9.140.110:8888/udp/239.76.253.100:9000
湖南卫视,http://175.9.140.110:8888/udp/239.76.253.101:9000
甘肃卫视,http://175.9.140.110:8888/udp/239.76.246.94:1234
甘肃卫视,http://175.9.140.110:8888/udp/239.76.253.94:9000
贵州卫视,http://175.9.140.110:8888/udp/239.76.245.198:1234
贵州卫视,http://175.9.140.110:8888/udp/239.76.252.198:9000
辽宁卫视,http://175.9.140.110:8888/udp/239.76.252.197:9000
辽宁卫视,http://175.9.140.110:8888/udp/239.76.245.197:1234
重庆卫视,http://175.9.140.110:8888/udp/239.76.253.92:9000
重庆卫视,http://175.9.140.110:8888/udp/239.76.246.92:1234
陕西卫视,http://175.9.140.110:8888/udp/239.76.254.76:9000
青海卫视,http://175.9.140.110:8888/udp/239.76.254.132:9000
黑龙江卫视,http://175.9.140.110:8888/udp/239.76.246.200:1234
黑龙江卫视,http://175.9.140.110:8888/udp/239.76.253.200:9000

湖南频道,#genre#
湖南公共,http://175.9.140.110:8888/udp/239.76.245.123:1234
湖南公共,http://175.9.140.110:8888/udp/239.76.246.109:1234
湖南公共,http://175.9.140.110:8888/udp/239.76.252.123:9000
湖南公共,http://175.9.140.110:8888/udp/239.76.253.109:9000
湖南卫视,http://175.9.140.110:8888/udp/239.76.245.115:1234
湖南卫视,http://175.9.140.110:8888/udp/239.76.246.100:1234
湖南卫视,http://175.9.140.110:8888/udp/239.76.246.101:1234
湖南卫视,http://175.9.140.110:8888/udp/239.76.253.100:9000
湖南卫视,http://175.9.140.110:8888/udp/239.76.253.101:9000
湖南国际,http://175.9.140.110:8888/udp/239.76.245.124:1234
湖南国际,http://175.9.140.110:8888/udp/239.76.252.124:9000
湖南国际,http://175.9.140.110:8888/udp/239.76.246.102:1234
湖南娱乐,http://175.9.140.110:8888/udp/239.76.246.105:1234
湖南国际,http://175.9.140.110:8888/udp/239.76.253.102:9000
湖南娱乐,http://175.9.140.110:8888/udp/239.76.245.121:1234
湖南娱乐,http://175.9.140.110:8888/udp/239.76.252.121:9000
湖南娱乐,http://175.9.140.110:8888/udp/239.76.253.105:9000
湖南教育,http://175.9.140.110:8888/udp/239.76.245.233:1234
湖南教育,http://175.9.140.110:8888/udp/239.76.252.233:9000
湖南电影,http://175.9.140.110:8888/udp/239.76.245.119:1234
湖南电影,http://175.9.140.110:8888/udp/239.76.246.106:1234
湖南电影,http://175.9.140.110:8888/udp/239.76.252.119:9000
湖南电影,http://175.9.140.110:8888/udp/239.76.253.106:9000
湖南电视剧,http://175.9.140.110:8888/udp/239.76.252.118:9000
湖南电视剧,http://175.9.140.110:8888/udp/239.76.245.118:1234
湖南电视剧,http://175.9.140.110:8888/udp/239.76.246.108:1234
湖南经视,http://175.9.140.110:8888/udp/239.76.245.116:1234
湖南电视剧,http://175.9.140.110:8888/udp/239.76.253.108:9000
湖南经视,http://175.9.140.110:8888/udp/239.76.246.103:1234
湖南经视,http://175.9.140.110:8888/udp/239.76.252.116:9000
湖南经视,http://175.9.140.110:8888/udp/239.76.253.103:9000
湖南都市,http://175.9.140.110:8888/udp/239.76.245.117:1234
湖南都市,http://175.9.140.110:8888/udp/239.76.246.104:1234
湖南都市,http://175.9.140.110:8888/udp/239.76.253.104:9000
湖南都市,http://175.9.140.110:8888/udp/239.76.252.117:9000
金鹰卡通,http://175.9.140.110:8888/udp/239.76.245.120:1234
金鹰卡通,http://175.9.140.110:8888/udp/239.76.246.107:1234
金鹰卡通,http://175.9.140.110:8888/udp/239.76.253.107:9000
金鹰卡通,http://175.9.140.110:8888/udp/239.76.252.120:9000
金鹰纪实,http://175.9.140.110:8888/udp/239.76.245.122:1234
金鹰纪实,http://175.9.140.110:8888/udp/239.76.252.122:9000
金鹰纪实,http://175.9.140.110:8888/udp/239.76.246.110:1234
金鹰纪实,http://175.9.140.110:8888/udp/239.76.253.110:9000
长沙女姓,http://175.9.140.110:8888/udp/239.76.245.23:1234
长沙女姓,http://175.9.140.110:8888/udp/239.76.252.23:9000
长沙影视,http://175.9.140.110:8888/udp/239.76.252.204:9000
长沙政法,http://175.9.140.110:8888/udp/239.76.246.122:1234
长沙影视,http://175.9.140.110:8888/udp/239.76.245.204:1234
长沙政法,http://175.9.140.110:8888/udp/239.76.253.122:9000
长沙新闻,http://175.9.140.110:8888/udp/239.76.246.121:1234
长沙新闻,http://175.9.140.110:8888/udp/239.76.253.121:9000


港澳频道,#genre#
凤凰资讯,http://117.28.177.45:8605/rtp/239.61.2.183:9086
凤凰资讯,http://ax.micaesoft.com/YMitv/YMITV_CN_ifengNEW.m3u8
凤凰资讯,http://112.19.171.156:9999/udp/239.93.0.118:2191
凤凰资讯,http://proxy.dfkj.live/alitv.php?u=min&id=2
凤凰资讯,http://103.95.24.37:880/fhzx.m3u8
凤凰资讯,http://play-flive.ifeng.com/live/06OLEEWQKN4.flv
凤凰资讯,https://play-flive.ifeng.com/live/06OLEEWQKN4.m3u8
无线财经体育资讯台,mitv://generationnexxxt.com:19806/8bcc654c89f74ebdb4e82062ef5f998c
无线财经体育资讯台,rtmp//f13h.mine.nu/sat/hk031
香港有线18台,rtmp://f13h.mine.nu/sat/hk021
TVB翡翠台,http://mywlkj.ddns.net:754/tv/tw.php?id=104
TVB翡翠台,http://mywlkj.ddns.net:754/tv/fct.m3u8
TVB翡翠台,http://qwas.eatuo.com:9901/tsfile/live/1013_1.m3u8
TVB翡翠台,http://158.180.67.130/live/hls/J/j.m3u8
TVB翡翠台,https://gudou-ott.hiper25.com/live/1350_4500.m3u8
TVB翡翠台,http://qwas.eatuo.com:9901/tsfile/live/1013_1.m3u8
TVB翡翠台,http://158.180.67.130/live/hls/JUHD/juhd.m3u8
TVB翡翠台 4K,http://free.9528.eu.org:9529/stream/hk/test/master.m3u8?u=admin&p=70db29aeaebf312fd2b93d3d69d99a16ad3319d0b354567f2be5c5e91c6be18b
TVB翡翠台,http://mywlkj.ddns.net:754/tv/hk.php?id=9
TVB翡翠台,http://mywlkj.ddns.net:754/tv/fct.m3u8
TVB翡翠台,http://mywlkj.ddns.net:754/tv/hiper25.php?id=1
TVB明珠台,http://mywlkj.ddns.net:754/tv/hiper25.php?id=2
TVB明珠台,https://iptv.hiper25.com/Pearl/video.m3u8
TVB星河台,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
TVB星河台,https://edge6a.v2h-cdn.com/xinghe/xinghe.stream/playlist.m3u8
TVB星河台,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
TVB星河台,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
TVB星河台,http://mywlkj.ddns.net:754/tv/xinghe.m3u8
TVB星河台,http://113.64.145.195:8081/hls/135/index.m3u8
天映电影,http://171.108.239.92:8181/tsfile/live/1009_1.m3u8
无线新闻台,http://zsntlqj.xicp.net:8896/bysid/83
TVB J2,http://50.7.238.114:8278/j2_twn/playlist.m3u8?tid=ME0E4382171043821710&ct=19237&tsum=6f10351124a4eb90780b2f84b2c4d349
TVB J2,http://50.7.238.114:8278/j2_twn/playlist.m3u8?tid=m22905da1d346&ct=18336&tsum=3b4998c4f5367bb820165f66b0caab0e
TVB翡翠台,https://iptv.hiper25.com/TVB/video.m3u8
TVB明珠台,https://iptv.hiper25.com/Pearl/video.m3u8
TVB翡翠台,http://129.226.149.79:4785/html/V4.php?access_token=DY20240301_31_M97gdfG&id=hktvbfct
TVB翡翠台,https://cdn-iptv.hiper25.com/TVB/video.m3u8
有线新闻台,http://cm61-10-2-143.hkcable.com.hk/live_freedirect/hd110_h.live/playlist.m3u8
有线新闻台,http://61.10.2.141/live_freedirect/freehd209_h.live/playlist.m3u8
无线新闻台,http://glive.grtn.cn/live/9d4ab39b4ab6325277081b76dbc3c4b9.flv
TVB J2台,http://1.65.195.85:9981/stream/channelid/2082072924?ticket=4b3174e5f68a673f0c11bc3443bc52b1663d94f0&profile=pass
香港卫视,http://cctvtxyh5c.liveplay.myqcloud.com/cstv/xianggangweishi_2/index.m3u8
香港34台全网,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
港台RTHK32HD,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream2/streamPlaylist.m3u8
港台RTHK33HD,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
港台RTHK34HD,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
港台RTHK35HD,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
澳门有线 CH1,http://202.175.127.77/live/show/ch1/index.m3u8
澳门有线 CH3,http://202.175.127.77/live/show/ch3/index.m3u8
澳门有线新闻,http://202.175.127.77/live/show/ch2/index.m3u8
凤凰资讯,http://61.221.215.25:8800/hls/47/index.m3u8
凤凰资讯,https://youtube.livednow.com/stream/0K6C6Rv4RR4_
