四川电信,#genre#
凤凰中文,http://171.213.200.219:8888/udp/239.93.0.162:2192
凤凰中文,http://171.213.200.219:8888/udp/239.93.1.9:2192
凤凰资讯,http://171.213.200.219:8888/udp/239.93.0.118:2191
凤凰资讯,http://171.213.200.219:8888/udp/239.93.1.4:2191
星空卫视,http://171.213.200.219:8888/udp/239.93.0.156:2193
星空卫视,http://171.213.200.219:8888/udp/239.93.1.10:2193
CHANNEL-V,http://171.213.200.219:8888/udp/239.93.0.157:2194
CHANNEL-V,http://171.213.200.219:8888/udp/239.93.1.7:2194
四川卫视,http://171.213.200.219:8888/udp/239.93.0.169:5140
四川卫视,http://171.213.200.219:8888/udp/239.93.1.188:5140
四川康巴卫视,http://171.213.200.219:8888/udp/239.93.0.41:5140
四川公共乡村,http://171.213.200.219:8888/udp/239.93.0.52:5140
四川妇女儿童,http://171.213.200.219:8888/udp/239.93.0.219:5140
四川影视文艺,http://171.213.200.219:8888/udp/239.93.0.166:5140
四川影视文艺,http://171.213.200.219:8888/udp/239.93.1.195:5140
四川经济,http://171.213.200.219:8888/udp/239.93.1.101:5140
四川文化旅游,http://171.213.200.219:8888/udp/239.93.1.20:5140
四川新闻,http://171.213.200.219:8888/udp/239.93.0.47:5140
四川文化旅游,http://171.213.200.219:8888/udp/239.93.1.102:5140
四川经济,http://171.213.200.219:8888/udp/239.93.1.16:5140
峨眉电影,http://171.213.200.219:8888/udp/239.93.1.54:5140
峨眉电影,http://171.213.200.219:8888/udp/239.93.1.18:5140
CCTV-1,http://171.213.200.219:8888/udp/239.93.0.184:5140
CCTV-2,http://171.213.200.219:8888/udp/239.93.1.23:6000
CCTV-3,http://171.213.200.219:8888/udp/239.93.1.11:2223
CCTV-4,http://171.213.200.219:8888/udp/239.93.1.105:5140
CCTV-5,http://171.213.200.219:8888/udp/239.93.42.37:5140
CCTV-6,http://171.213.200.219:8888/udp/239.93.1.13:2226
CCTV-7,http://171.213.200.219:8888/udp/239.93.1.67:5140
CCTV-8,http://171.213.200.219:8888/udp/239.93.42.39:5140
CCTV-9,http://171.213.200.219:8888/udp/239.93.1.24:5140
CCTV-10,http://171.213.200.219:8888/udp/239.93.1.28:5140
CCTV-11,http://171.213.200.219:8888/udp/239.93.0.102:5140
CCTV-12,http://171.213.200.219:8888/udp/239.93.1.30:8124
CCTV-13,http://171.213.200.219:8888/udp/239.93.0.66:5140
CCTV-14,http://171.213.200.219:8888/udp/239.93.1.29:6000
CCTV-15,http://171.213.200.219:8888/udp/239.93.0.103:5140
CCTV-17,http://171.213.200.219:8888/udp/239.93.0.92:5140
CCTV-5+,http://171.213.200.219:8888/udp/239.93.1.36:8004
爱上4K,http://171.213.200.219:8888/udp/239.93.0.97:5140
爱上4K 17M2160,http://171.213.200.219:8888/udp/239.93.1.113:5140
爱上4K 17M2160,http://171.213.200.219:8888/udp/239.93.1.251:8224
CGTN英语,http://171.213.200.219:8888/udp/239.93.0.104:5140
四川卫视,http://171.213.200.219:8888/udp/239.93.0.20:1235
CDTV-1,http://171.213.200.219:8888/udp/239.93.0.16:5140
湖南卫视,http://171.213.200.219:8888/udp/239.93.0.88:5140
江苏卫视,http://171.213.200.219:8888/udp/239.93.0.89:5140
浙江卫视,http://171.213.200.219:8888/udp/239.93.0.124:5140
东方卫视,http://171.213.200.219:8888/udp/239.93.0.123:5140
北京卫视,http://171.213.200.219:8888/udp/239.93.0.180:5140
深圳卫视,http://171.213.200.219:8888/udp/239.93.0.182:5140
广东卫视,http://171.213.200.219:8888/udp/239.93.0.181:5140
天津卫视,http://171.213.200.219:8888/udp/239.93.0.167:5140
山东卫视,http://171.213.200.219:8888/udp/239.93.0.168:5140
四川科教,http://171.213.200.219:8888/udp/239.93.42.44:5140
四川乡村,http://171.213.200.219:8888/udp/239.93.0.52:5140
康巴卫视,http://171.213.200.219:8888/udp/239.93.0.41:5140
江西卫视,http://171.213.200.219:8888/udp/239.93.0.134:5140
东南卫视,http://171.213.200.219:8888/udp/239.93.0.42:5140
黑龙江卫视,http://171.213.200.219:8888/udp/239.93.0.183:5140
重庆卫视,http://171.213.200.219:8888/udp/239.93.1.107:5140
贵州卫视,http://171.213.200.219:8888/udp/239.93.0.131:5140
湖北卫视,http://171.213.200.219:8888/udp/239.93.0.250:5140
安徽卫视,http://171.213.200.219:8888/udp/239.93.1.106:5140
河北卫视,http://171.213.200.219:8888/udp/239.93.0.132:5140
辽宁卫视,http://171.213.200.219:8888/udp/239.93.1.108:5140
云南卫视,http://171.213.200.219:8888/udp/239.93.1.174:5140
河南卫视,http://171.213.200.219:8888/udp/239.93.42.45:5140
广西卫视,http://171.213.200.219:8888/udp/239.93.42.46:5140
云南卫视,http://171.213.200.219:8888/udp/239.93.0.174:5140
吉林卫视,http://171.213.200.219:8888/udp/239.93.0.248:5140
甘肃卫视,http://171.213.200.219:8888/udp/239.93.0.81:5140
峨眉电影,http://171.213.200.219:8888/udp/239.93.0.252:5140
CDTV-2,http://171.213.200.219:8888/udp/239.93.0.17:1239
CDTV-3,http://171.213.200.219:8888/udp/239.93.0.18:1238
CDTV-4,http://171.213.200.219:8888/udp/239.93.0.19:1250
CDTV-5,http://171.213.200.219:8888/udp/239.93.1.231:5140
CDTV-6,http://171.213.200.219:8888/udp/239.93.0.21:1251
CDTV-8,http://171.213.200.219:8888/udp/239.93.0.22:1252
上海纪实,http://171.213.200.219:8888/udp/239.93.1.137:5140
金鹰纪实,http://171.213.200.219:8888/udp/239.93.0.130:5140
CETV-1,http://171.213.200.219:8888/udp/239.93.1.111:5140
熊猫新闻,http://171.213.200.219:8888/udp/239.93.1.112:5140
熊猫体娱,http://171.213.200.219:8888/udp/239.93.0.94:5140
熊猫少儿,http://171.213.200.219:8888/udp/239.93.1.189:5140
熊猫影院,http://171.213.200.219:8888/udp/239.93.0.214:5140
熊猫频道,http://171.213.200.219:8888/udp/239.93.0.211:9148
金熊猫卡通,http://171.213.200.219:8888/udp/239.93.1.172:5140
熊猫爱生活,http://171.213.200.219:8888/udp/239.93.1.190:5140
大爱四川,http://171.213.200.219:8888/udp/239.93.1.110:5140
大爱旅游,http://171.213.200.219:8888/udp/239.93.42.70:5140
大爱生活,http://171.213.200.219:8888/udp/239.93.42.71:5140
大爱时尚,http://171.213.200.219:8888/udp/239.93.42.72:5140
HD看电影,http://171.213.200.219:8888/udp/239.93.42.47:5140
华语影院,http://171.213.200.219:8888/udp/239.93.0.138:5140
星光院线,http://171.213.200.219:8888/udp/239.93.0.139:5140
全球大片,http://171.213.200.219:8888/udp/239.93.0.105:5140
